resume_id,summary,skills
r_57,"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",['python r or java tensorflow pytorch scikit learn']
r_58,Fresher Computer vision and Machine Learning Engineer looking for a job that is both challenging and fun in terms of problem-solving. Also an expert in maintaining and managing Tableau and Power BI dashboards to address business.,"['alb', 'ci cd', 'django api design server side logic drf django rest framework database management postgresql', 'docker', 'ec2', 'ecs', 'etc linux', 'full stack development front end reactjs', 'gitlab terraform', 'mysql version control git aws ecr', 'nextjs backend python', 'rds', 'shell scripting']"
r_59,Graduate database management engineer looking to join a role in data analytics or cloud-based machine learning solutions.,['data science on cloud']
r_60,"Passionate Data Engineer with a zeal to excel forward and produce promising outcomes. Hands-on knowledge in various Machine Learning Algorithms. Also experienced in data mining, warehouse maintaining, and visualization. In search of a role where I can nurture my skills and contribute to the growth of the company and myself.",['n a']
r_61,"Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis",['n a']
r_62,"Software developer focused in the areas of Machine learning application development. Motivated to learn, grow and excel my experience by challenging myself.",['ondevice machine learning']
r_63,"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",['python r or java tensorflow pytorch scikit learn']
r_64,As a junior analyst I currently work with data preprocessing and data cleaning before sending them to Machine Learning Models. I am also simultaneously training to be a machine learning engineer to work closely with teams that build models and would like to join a venture for such opportunity.,['n a']
r_65,I am currently looking for an opportunity as a Data Science or Machine Learning Engineer.,['business analyst']
r_66,Graduate Looking for roles related to BU analyst and machine learning.,['data analyst python programming']
r_67,"Energetic, innovative engineering undergraduate, passionate about Machine Learning, NLP and Deep Learning for solving real-world problems, aiming to work in an organization providing great learning experience and growth opportunities for mutual benefit.","['apr 2021', 'dec 2020', 'feb 2021', 'nov 2021']"
r_68,,['data science']
r_69,"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",['python r or java tensorflow pytorch scikit learn']
r_70,I am a market research specialist with a grasp of machine learning and looking for a deeper dive into the career of being a professional machine learning engineer.,['n a']
r_71,As a junior analyst I currently work with data preprocessing and data cleaning before sending them to Machine Learning Models. I am also simultaneously training to be a machine learning engineer to work closely with teams that build models and would like to join a venture for such opportunity.,['n a']
r_72,I am a software developer currently working on Machine Learning Projects. The domain of analytics and Machine Learning has amassed a greater interest for me and I want to explore and learn about the core concepts used in production. I am looking to switch to a fulltime role that will help me explore more about this.,['software lifecycle']
r_73,,['nlp developer']
r_74,"Associate Solution Advisor currently enrolled in PG for Data science, Knowledge in data manipulation, analysis, reporting and data visualization. In depth knowledge of tools used for production.",['n a']
r_75,,['data science and analytics']
r_76,"['ASP.NET 4.5', 'academic', 'Clustering', 'consulting', 'curriculum development', 'customer satisfaction', 'data analysis', 'data mining', 'data warehouse', 'Databases', 'database', 'database design', 'database management', 'data warehousing', 'environmental protection', 'Environmental Science', 'GIS', 'HTML', 'instructor', 'Lecturer', 'legal', 'machine learning', 'managing', 'materials', 'meetings', 'C#', 'Microsoft SQL', 'modeling', 'Natural', 'Oracle', 'process development and engineering', 'processes', 'progress', 'Python', 'quality', 'researching', 'research', 'SAS', 'shipping', 'SPSS', 'SQL', 'Statistics', 'Tableau', 'teaching', 'technical support', 'workshops']","['city state', 'n a']"
r_77,"I am a Master of Data Science graduate looking to work as a fulltime employee, seeking an entry level role in data science domain. I can offer a strong programming skills and good academic results together with a sound knowledge of implementing Machine learning techniques. Also, I am keen to learn new skill sets that the role demands. I am a highly analytical individual with interpersonal and technical skills, a desire to learn and determined attitude to succeed.",['data management on large scale']
r_78,,"['city state', 'navi mumbai india']"
r_79,"Experienced software professional looking for data science and machine learning roles. Masters in machine learning. Good Knowledge of Software Development processes and Object-oriented programming. Sound Knowledge of python, scikit learn and keras.",['n a']
r_80,Data Science Explorer with a keen interest in application models of Machine learning.,['n a']
r_81,"Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis",['n a']
r_82,,['ait']
r_83,"Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis",['city state']
r_84,Data analyst actively seeking job roles related to data science and machine learning.,['ibm data analytics']
r_85,Associate software engineer specializing in Machine Learning models and Optimization. I work with both natural Language processing and computer vision in terms of Modelling and development.,['n a']
r_86,"Fresher starting out with Business Analysis, and machine learning modelling based on data engineering.",['n a']
r_87,"A python programmer, currently pursuing Data science and looking for roles that involve the application of Machine Learning. I am always excited to take on real life problems and tread through different technology stacks.",['certified data scientist']
r_88,"I am a Master of Data Science graduate looking to work as a fulltime employee, seeking an entry level role in data science domain. I can offer a strong programming skills and good academic results together with a sound knowledge of implementing Machine learning techniques. Also, I am keen to learn new skill sets that the role demands. I am a highly analytical individual with interpersonal and technical skills, a desire to learn and determined attitude to succeed.",['data management on large scale']
r_89,I am Data science enthusiast focused on solving complex problems using machine learning techniques. I try to simplify problems and attack them head on. Always working and striving to be better solution finder.,['deep learning']
r_90,,['ai on the cloud']
r_91,"Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis",['n a']
r_92,"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",['python r or java tensorflow pytorch scikit learn']
r_93,"A quality-oriented professional with a keen interest in solving complex business problems by way of AI-based design & thinking. A technology-agnostic individual with a strong background in data science, statistics, and economics with an aim to accelerate artificial intelligence.","['alb', 'ci cd', 'django api design server side logic drf django rest framework database management postgresql', 'docker', 'ec2', 'ecs', 'etc linux', 'full stack development front end reactjs', 'gitlab terraform', 'mysql version control git aws ecr', 'nextjs backend python', 'rds', 'shell scripting']"
r_94,,['data science']
r_95,"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",['python r or java tensorflow pytorch scikit learn']
r_96,,['data science']
r_97,,['nlp developer']
r_98,A highly disciplined and hard-working individual seeking challenging opportunity in the field of data science and data analytics where I can utilize my skills and knowledge to contribute for the growth of the organization,['data science using machine learning with r and python data analytics']
r_99,I am a Post Graduate having knowledge of industry-level Machine Learning problems and Research topics. I currently work as a Machine Learning Engineer and I want to keep exploring such opportunities.,['n a']
r_100,"I am a software engineer, and I want to work on full time roles associated with Machine Learning. I have previously worked on some corporate models and due to its intricacies I want to explore more in the domain.",['n a']
r_101,,"['participant', 'vice president social chair greek week delegate']"
r_102,I am an assistant software engineer working on cloud-based solutions. After working on a couple of Machine Learning application evaluations and deployment I got really engrossed into the domain and would like to work more towards improving myself.,['n a']
r_103,,"['participant', 'vice president social chair greek week delegate']"
r_104,"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",['python r or java tensorflow pytorch scikit learn']
r_105,Fresher Computer vision and Machine Learning Engineer looking for a job that is both challenging and fun in terms of problem-solving. Also an expert in maintaining and managing Tableau and Power BI dashboards to address business.,"['honorary member', 'innovator of the year runner up']"
r_106,"['ASP.NET 4.5', 'academic', 'Clustering', 'consulting', 'curriculum development', 'customer satisfaction', 'data analysis', 'data mining', 'data warehouse', 'Databases', 'database', 'database design', 'database management', 'data warehousing', 'environmental protection', 'Environmental Science', 'GIS', 'HTML', 'instructor', 'Lecturer', 'legal', 'machine learning', 'managing', 'materials', 'meetings', 'C#', 'Microsoft SQL', 'modeling', 'Natural', 'Oracle', 'process development and engineering', 'processes', 'progress', 'Python', 'quality', 'researching', 'research', 'SAS', 'shipping', 'SPSS', 'SQL', 'Statistics', 'Tableau', 'teaching', 'technical support', 'workshops']","['city state', 'n a']"
r_107,"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",['python r or java tensorflow pytorch scikit learn']
r_108,"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",['python r or java tensorflow pytorch scikit learn']
r_109,Graduate Looking for roles related to BU analyst and machine learning.,['data analyst python programming']
r_110,"Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis",['city state']
r_111,Associate software engineer specializing in Machine Learning models and Optimization. I work with both natural Language processing and computer vision in terms of Modelling and development.,"['alb', 'ci cd', 'django api design server side logic drf django rest framework database management postgresql', 'docker', 'ec2', 'ecs', 'etc linux', 'full stack development front end reactjs', 'gitlab terraform', 'mysql version control git aws ecr', 'nextjs backend python', 'rds', 'shell scripting']"
r_112,"Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis",['city state']
r_113,"An avid data analyst looking to step into the world of machine learning and data sciences. I have experience related to Data Mining, Data Visualization, Text Analytics, Data Collection and would currently like to expand my horizon and work on Machine Learning projects.",['n a']
r_114,Fresher python developer interested in data analytics and machine learning.,['statistics in python']
r_115,"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",['python r or java tensorflow pytorch scikit learn']
r_116,"Skilled Machine Learning and Deep Learning practitioner, and I have worked on Computer vision-based projects. On the lookout for opportunities that help me understand more about the domain.",['attendee']
r_117,,['nlp developer']
r_118,"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",['python r or java tensorflow pytorch scikit learn']
r_119,Looking for roles related to application development in Machine Learning.,['n a']
r_120,"Graduate analyst currently working as business analyst consultant. As an individual, I always try to overcome problems in the most analytical manner. I want to work on Machine Learning application problems that deal with real life scenarios.",['n a']
r_121,I am a market research specialist with a grasp of machine learning and looking for a deeper dive into the career of being a professional machine learning engineer.,['n a']
r_122,"A quality-oriented professional with a keen interest in solving complex business problems by way of AI-based design & thinking. A technology-agnostic individual with a strong background in data science, statistics, and economics with an aim to accelerate artificial intelligence.",['n a']
r_123,"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",['python r or java tensorflow pytorch scikit learn']
r_124,"Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis",['n a']
r_125,"A python programmer, currently pursuing Data science and looking for roles that involve the application of Machine Learning. I am always excited to take on real life problems and tread through different technology stacks.",['certified data scientist']
r_126,,"['chairman', 'participant']"
r_127,"A Fresher Seeking Roles In Machine Learning, Business Analysis, Data Predictive Modelling, Statistical Solutions, Data Mining.",['data science and bigdata']
r_128,,['ait']
r_129,,"['natural language processing with python', 'python for big data with pyspark']"
r_130,"Fresher starting out with Business Analysis, and machine learning modelling based on data engineering.",['n a']
r_131,,"['city state', 'kuwait', 'udaipur india']"
r_132,"Machine Learning engineer who has worked on multiple projects with knowledge in big data handling and business analytics. As someone who is always learning, I would love to use my knowledge to provide the best solutions.","['alb', 'ci cd', 'django api design server side logic drf django rest framework database management postgresql', 'docker', 'ec2', 'ecs', 'etc linux', 'full stack development front end reactjs', 'gitlab terraform', 'mysql version control git aws ecr', 'nextjs backend python', 'rds', 'shell scripting']"
r_133,I am a fresher specializing in data analytics and Machine Learning Application development. I believe that if given the opportunity I can prove my potential as a developer. I can easily communicate and work under someone's supervision who can guide me and help me in this journey of learning and exploring.,['participant']
r_134,I am Data science enthusiast focused on solving complex problems using machine learning techniques. I try to simplify problems and attack them head on. Always working and striving to be better solution finder.,['deep learning']
r_135,"Machine learning Enthusiast. Motivated to learn, grow and excel my experience by challenging myself.",['data science with python']
r_136,"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",['python r or java tensorflow pytorch scikit learn']
r_137,Would like to join any firm as a software developer in machine learning projects.,['n a']
r_138,"Fresher having knowledge in machine learning and natural language processing. Looking to join a role where I can learn from an well informed environment, experiment and produce promising results and work with different kinds of data.",['nanyang university']
r_139,,"['natural language processing with python', 'python for big data with pyspark']"
r_140,Graduate Looking for roles related to BU analyst and machine learning.,['data analyst python programming']
r_141,"Data Analyst, interested in Machine Learning application development. As a data analyst, I have extensive experience with data preprocessing and pipeline building and I would like to venture further into this domain to learn more about it.",['n a']
r_142,"Passionate Data Engineer with a zeal to excel forward and produce promising outcomes. Hands-on knowledge in various Machine Learning Algorithms. Also experienced in data mining, warehouse maintaining, and visualization. In search of a role where I can nurture my skills and contribute to the growth of the company and myself.",['n a']
r_143,"Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis",['city state']
r_144,I am fresher data analyst starting out in ERP and MIS. As a fresher I am looking for roles specific to data science and machine learning to learn about the subject and create amazing applications to solve real life problems.,['data science with python']
r_145,"Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis",['n a']
r_146,"Machine learning Enthusiast. Motivated to learn, grow and excel my experience by challenging myself.",['data science with python']
r_147,Fresher python developer interested in data analytics and machine learning.,['statistics in python']
r_148,,['tensorflow and keras']
r_149,I am a software developer currently working on Machine Learning Projects. The domain of analytics and Machine Learning has amassed a greater interest for me and I want to explore and learn about the core concepts used in production. I am looking to switch to a fulltime role that will help me explore more about this.,['software lifecycle']
r_150,,"['chairman', 'participant']"
r_151,"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",['python r or java tensorflow pytorch scikit learn']
r_152,"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",['python r or java tensorflow pytorch scikit learn']
r_153,,['data science']
r_154,"Machine Learning Leadership
Cross-Functional Collaboration
Strategy Development
ML/NLP Infrastructure
Prototype Transformation
ML System Design
Algorithm Research
Application Development
Dataset Selection
ML Testing
Statistical Analysis
R&D in ML/NLP
Text Representation
Data Pipeline Design
Statistical Data Analysis
Model Training
Team Collaboration
Research Reporting
Algorithm Analysis",['data science and bigdata']
r_155,"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",['python r or java tensorflow pytorch scikit learn']
r_156,"I'm passionate learner with a knack for Artificial Intelligence. The kind of problems AI can solve, fills me with enthusiasm to learn more and contribute more. I have dedicated more than a year developing and training Machine learning Models across several projects.",['pytorch developer']
r_157,Want to work as a Machine Learning Production Engineer.,['n a']
r_158,Software Engineer with a track record of Implementing and completing projects on time and in alignment with client expectations. Enthusiast about Data Science and keen to learn and explore.,['n a']
r_159,"Software developer with a niche towards end to end machine learning projects. Motivated towards learning, solving and producing better results.",['participant']
r_160,"Software developer focused in the areas of Machine learning application development. Motivated to learn, grow and excel my experience by challenging myself.","['alb', 'ci cd', 'django api design server side logic drf django rest framework database management postgresql', 'docker', 'ec2', 'ecs', 'etc linux', 'full stack development front end reactjs', 'gitlab terraform', 'mysql version control git aws ecr', 'nextjs backend python', 'rds', 'shell scripting']"
r_161,"Skilled Machine Learning and Deep Learning practitioner, and I have worked on Computer vision-based projects. On the lookout for opportunities that help me understand more about the domain.",['attendee']
r_162,"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",['python r or java tensorflow pytorch scikit learn']
r_163,"Passionate Data Engineer with a zeal to excel forward and produce promising outcomes. Hands-on knowledge in various Machine Learning Algorithms. Also experienced in data mining, warehouse maintaining, and visualization. In search of a role where I can nurture my skills and contribute to the growth of the company and myself.",['n a']
r_164,"Fresher having knowledge in machine learning and natural language processing. Looking to join a role where I can learn from an well informed environment, experiment and produce promising results and work with different kinds of data.",['nanyang university']
